eds_score,semantic_similarity,channel_fit,trust_score,outcome_score,business_value,compliance_sensitivity,selected
0.8142,0.8388,0.9,0.94,0.7979,0.9,0.1,1
0.8142,0.8388,0.9,0.94,0.7979,0.9,0.1,1
0.8673,0.8644,0.9,0.94,0.8195,0.9,0.1,1
0.9214,0.8908,0.9,0.94,0.8416,0.9,0.1,1
0.9214,0.8908,0.9,0.94,0.8416,0.9,0.1,1
0.8673,0.8644,0.9,0.94,0.8195,0.9,0.1,1
0.7359,0.8036,0.9,0.94,0.7465,0.7,0.05,1
0.775,0.8228,0.9,0.94,0.7625,0.7,0.05,1
0.775,0.8228,0.9,0.94,0.7625,0.7,0.05,1
0.9214,0.8908,0.9,0.94,0.8416,0.9,0.1,1
0.8496,0.858,0.82,0.94,0.7815,0.78,0.15,1
0.683,0.7772,0.82,0.94,0.7137,0.78,0.15,1
0.683,0.7772,0.82,0.94,0.7137,0.78,0.15,1
0.6474,0.7592,0.72,0.94,0.6638,0.72,0.3,1
0.6474,0.7592,0.72,0.94,0.6638,0.72,0.3,1
0.6456,0.766,0.74,0.94,0.6853,0.7,0.05,1
0.6456,0.766,0.74,0.82,0.5071,0.7,0.05,1
0.775,0.8228,0.9,0.94,0.7625,0.7,0.05,1
0.8673,0.8644,0.9,0.94,0.8195,0.9,0.1,1
0.683,0.7772,0.82,0.94,0.7137,0.78,0.15,1
0.8142,0.8388,0.9,0.94,0.7979,0.9,0.1,1
0.8142,0.8388,0.9,0.94,0.7979,0.9,0.1,1
0.9214,0.8908,0.9,0.94,0.8416,0.9,0.1,1
0.7359,0.8036,0.9,0.94,0.7465,0.7,0.05,1
0.6474,0.7592,0.72,0.94,0.6638,0.72,0.3,1
0.8038,0.8268,0.9,0.94,0.7892,0.84,0.05,1
0.795,0.8228,0.9,0.94,0.7809,0.8,0.05,1
0.7559,0.8036,0.9,0.94,0.7649,0.8,0.05,1
0.7559,0.8036,0.9,0.94,0.7649,0.8,0.05,1
0.8038,0.8268,0.9,0.94,0.7892,0.84,0.05,1
0.911,0.8788,0.9,0.94,0.8329,0.84,0.05,1
0.911,0.8788,0.9,0.94,0.8329,0.84,0.05,1
0.9022,0.8748,0.9,0.94,0.8246,0.8,0.05,1
0.8481,0.8484,0.9,0.94,0.8025,0.8,0.05,1
0.8481,0.8484,0.9,0.94,0.8025,0.8,0.05,1
0.8476,0.848,0.82,0.94,0.7791,0.78,0.15,1
0.681,0.7672,0.82,0.94,0.7112,0.78,0.15,1
0.681,0.7672,0.82,0.94,0.7112,0.78,0.15,1
0.681,0.7672,0.82,0.94,0.7112,0.78,0.15,1
0.795,0.8228,0.9,0.94,0.7809,0.8,0.05,1
