eds_score,semantic_similarity,channel_fit,trust_score,business_value,compliance_sensitivity,fatigue_score,converted,revenue
0.8142,0.8388,0.9,0.94,0.9,0.1,0.08,1,127.66
0.8142,0.8388,0.9,0.94,0.9,0.1,0.08,1,127.66
0.8673,0.8644,0.9,0.94,0.9,0.1,0.08,1,131.12
0.9214,0.8908,0.9,0.94,0.9,0.1,0.08,1,134.66
0.9214,0.8908,0.9,0.94,0.9,0.1,0.08,1,134.66
0.8673,0.8644,0.9,0.94,0.9,0.1,0.08,1,131.12
0.7359,0.8036,0.9,0.94,0.7,0.05,0.08,1,63.45
0.775,0.8228,0.9,0.94,0.7,0.05,0.08,1,64.81
0.775,0.8228,0.9,0.94,0.7,0.05,0.08,1,64.81
0.9214,0.8908,0.9,0.94,0.9,0.1,0.08,1,134.66
0.8496,0.858,0.82,0.94,0.78,0.15,0.08,1,58.61
0.683,0.7772,0.82,0.94,0.78,0.15,0.08,1,53.53
0.683,0.7772,0.82,0.94,0.78,0.15,0.08,1,53.53
0.6474,0.7592,0.72,0.94,0.72,0.3,0.08,1,23.23
0.6474,0.7592,0.72,0.94,0.72,0.3,0.08,1,23.23
0.6456,0.766,0.74,0.94,0.7,0.05,0.08,1,58.25
0.6456,0.766,0.74,0.82,0.7,0.05,0.24,0,0.0
0.775,0.8228,0.9,0.94,0.7,0.05,0.08,1,64.81
0.8673,0.8644,0.9,0.94,0.9,0.1,0.08,1,131.12
0.683,0.7772,0.82,0.94,0.78,0.15,0.08,1,53.53
0.8142,0.8388,0.9,0.94,0.9,0.1,0.08,1,127.66
0.8142,0.8388,0.9,0.94,0.9,0.1,0.08,1,127.66
0.9214,0.8908,0.9,0.94,0.9,0.1,0.08,1,134.66
0.7359,0.8036,0.9,0.94,0.7,0.05,0.08,1,63.45
0.6474,0.7592,0.72,0.94,0.72,0.3,0.08,1,23.23
0.8038,0.8268,0.9,0.94,0.84,0.05,0.08,1,102.6
0.795,0.8228,0.9,0.94,0.8,0.05,0.08,1,89.8
0.7559,0.8036,0.9,0.94,0.8,0.05,0.08,1,87.96
0.7559,0.8036,0.9,0.94,0.8,0.05,0.08,1,87.96
0.8038,0.8268,0.9,0.94,0.84,0.05,0.08,1,102.6
0.911,0.8788,0.9,0.94,0.84,0.05,0.08,1,108.28
0.911,0.8788,0.9,0.94,0.84,0.05,0.08,1,108.28
0.9022,0.8748,0.9,0.94,0.8,0.05,0.08,1,94.83
0.8481,0.8484,0.9,0.94,0.8,0.05,0.08,1,92.29
0.8481,0.8484,0.9,0.94,0.8,0.05,0.08,1,92.29
0.8476,0.848,0.82,0.94,0.78,0.15,0.08,1,58.43
0.681,0.7672,0.82,0.94,0.78,0.15,0.08,1,53.34
0.681,0.7672,0.82,0.94,0.78,0.15,0.08,1,53.34
0.681,0.7672,0.82,0.94,0.78,0.15,0.08,1,53.34
0.795,0.8228,0.9,0.94,0.8,0.05,0.08,1,89.8
0.8038,0.8268,0.9,0.94,0.84,0.05,0.08,1,102.6
0.911,0.8788,0.9,0.94,0.84,0.05,0.08,1,108.28
0.911,0.8788,0.9,0.94,0.84,0.05,0.08,1,108.28
0.6656,0.766,0.74,0.94,0.8,0.05,0.08,1,80.93
0.6656,0.766,0.74,0.82,0.8,0.05,0.24,0,0.0
0.7527,0.8036,0.86,0.94,0.8,0.05,0.08,1,87.11
0.8476,0.848,0.82,0.94,0.78,0.15,0.08,1,58.43
0.7559,0.8036,0.9,0.94,0.8,0.05,0.08,1,87.96
0.911,0.8788,0.9,0.94,0.84,0.05,0.08,1,108.28
0.8038,0.8268,0.9,0.94,0.84,0.05,0.08,1,102.6
0.8552,0.834,0.9,0.94,0.76,0.05,0.08,1,43.86
